Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,5,1,16,1,2,155.59905611209868,1,3,17,8,4,123.37180526158335,0,0,0,1,1,0,20,0,0,8,9,5,14.446851109275132,0,0,8,10,5,13.358119839700517,0,15.867162577543306,0.6080498471054888,-0.9840225392447013,Graduate
1,17,1,7,1,5,110.11540490588793,1,21,31,3,9,103.12762754582383,0,0,0,1,0,0,18,0,0,5,7,4,9.473324412101306,0,0,5,5,4,9.861606230450395,0,10.400576983954506,2.1511638399067436,-2.5703484198886484,Enrolled
2,2,1,13,1,3,125.05909236678596,1,1,3,6,3,134.86846053511368,1,0,0,1,1,1,20,0,0,6,7,5,11.412966025543303,0,0,6,6,6,12.679749402278873,0,16.05830400703248,2.4016585792962815,0.4490652145483214,Graduate
1,17,1,13,1,2,121.77937489998826,1,13,11,1,3,123.46153937366924,1,0,0,1,0,0,21,0,0,6,8,5,15.284714999165391,0,0,6,6,6,12.971071454381264,0,9.366640006719258,1.64462196016962,1.5511306043824877,Graduate
1,18,1,5,1,3,122.82633856259892,1,22,8,1,7,112.48336693107251,0,0,1,0,1,0,20,0,0,6,8,3,9.563819665699592,0,0,6,7,0,0.0,0,8.48420372158706,2.940243833899391,-0.6951830026778465,Dropout
1,15,1,15,1,5,119.01587752630151,1,27,33,6,1,102.42136761596342,0,0,0,1,1,0,38,0,0,7,8,0,0.0,0,0,7,7,0,0.0,0,10.28809970829743,0.9342850464032171,1.6268703474486381,Dropout
1,17,1,2,1,1,125.35121008799533,1,6,27,4,9,95.0,1,0,0,0,1,0,21,0,0,5,5,2,10.965274827162398,0,0,5,7,2,9.78553951359331,0,15.216029189085866,3.3101869116182296,-1.7304645747403193,Dropout
1,2,1,10,1,5,111.5624569650908,1,34,1,4,4,120.21161329081292,1,0,0,0,1,0,25,0,0,7,9,4,11.980731984449875,0,0,7,8,5,11.370589306175463,0,12.087926722659448,3.557423713249345,1.302383135213761,Enrolled
2,1,1,13,1,1,114.06643692071302,1,31,17,2,1,115.59079763961971,1,0,0,1,0,1,19,0,0,8,10,4,13.237110057682404,0,0,8,8,4,14.32956473778591,0,8.766590911059989,0.5039504787292433,-2.062416001221594,Graduate
1,7,1,15,1,5,109.39726508373855,1,14,2,1,7,128.13384355251824,1,0,0,1,0,0,19,0,0,8,9,4,12.77686979794149,0,0,8,10,3,13.815734807312595,0,9.341491826595217,3.19670931213811,1.8548715632867765,Graduate
1,5,1,12,1,4,110.43551410764825,1,30,10,9,4,126.573142090808,1,0,0,1,0,0,22,0,0,7,9,3,12.197031848286347,0,0,7,8,0,0.0,0,10.276841694486244,2.119536476503467,2.229811837244071,Dropout
1,15,1,15,1,1,98.0,1,14,20,8,4,128.20067524264084,1,0,1,1,0,0,20,0,0,5,7,2,9.157738903328015,0,0,5,5,5,12.65122979750642,0,12.675433945189287,1.9764980282832536,1.9829275126984163,Enrolled
